RelativePath,Bytes,SHA256
app/Microsoft.UI.Windowing.Core.dll,542520,ccc64f8f6b07c8e39ebaee6e51346d8214ae606a5e2a8fb402d955a5eee61f41
app/Microsoft.UI.Windowing.dll,550712,de777fc7f88256dc3158138b5e267a151fda461a2ef71b24320ccac7cc5a3b75
app/Microsoft.UI.Xaml.Controls.dll,6645560,44479ef18ea26abd9f01315e150de1adde9900f448a4e391fa25bbdd1bfbd5ab
app/Microsoft.UI.Xaml.Controls.pri,1259720,304f09338fd6dc69edd6d0225896a4b50edc57d712e3528e148a795bb5a20e07
app/Microsoft.UI.Xaml.Internal.dll,936800,e3b9f23db45064809be2c9e2d1d8216a16457bdeb1062db9ecb811052567e3cb
app/Microsoft.UI.Xaml.Phone.dll,1103672,ca8d88d4cccfa5da6aec0d9090dfddd403301d9e85686327e4608d3e07716f47
app/Microsoft.UI.Xaml.pri,18962536,7409d633fbba50196bc17bae4f5f2fb6dc94bc55f5bcad88b6528d6c170974e3
app/Microsoft.UI.Xaml.winmd,1633080,3251bbefaabbc96ef7b5d10c0062462acca0f17faa2f854d3cc29422d0ed5733
app/Microsoft.UI.dll,177976,21509e8198b80be168e3a8ff89868bdd0f459afe8c7390b0bb004b2b71117359
app/Microsoft.UI.pri,101512,db52527854555e33c473787beab45ab6caeb063b50a84282c54ba6f2e4d16ef9
app/Microsoft.UI.winmd,293176,509244546deec251a0e88a2df10f67fbc2cd036f4d7b064cb24cbd153ddc9f05
app/Microsoft.VisualBasic.Core.dll,1193808,6c267acb79006291cda2484bd9d39f289419b7d3448e1a1f30ef7c2ad7dce82c
app/Microsoft.VisualBasic.Forms.dll,247592,640f7fc1fcd098e04f3f8d03668039719cfe799d2a12eda7a9c6a2e9bc1e2acf
app/Microsoft.VisualBasic.dll,18728,a7ac7e8ea4a71db42adb99f55af9ba270c3518652fe1a1f47b4eea939553138d
